Prod_ID,Item_Name,Category,Brand,MRP,Vendor,Launch_Date,Created_On,Updated_On
PB1084,Aashirvaad Staple 500g,Staples,Aashirvaad,239.41,Prime Wholesale,2024-11-04,2024-11-23,2025-10-30
PB1085,Lizol Home Care 200g,HOME CARE,Lizol,518.69,Global FMCG,2023-01-28,2023-02-23,2024-01-29
PB1086,Haldiram Snack 250g,Snacks,Haldiram,462.71,Shree Traders,2023-09-09,2023-10-04,2024-07-10
PB1087,Surf Excel Home Care 1kg,Home Care,Surf Excel,194.18,Prime Wholesale,2025-04-02,2025-05-10,2026-04-10
PB1088,Cadbury Chocolate 250g,Chocolates,Cadbury,370.9,Shree Traders,2024-08-27,2024-10-16,2025-01-10
PB1089,McCain Frozen Food 100g,Frozen Foods,McCain,142.94,Metro Supplies,2023-04-27,2023-06-09,2023-11-14
PB1090,Lay's Snack 100g,Snacks,Lay's,471.11,ABC Distributors,2023-05-17,2023-06-16,2024-04-23
PB1091,Nestle Chocolate 250g,Chocolates,Nestle,226.59,Prime Wholesale,2023-02-03,2023-03-20,2024-03-10
PB1092,Lux Personal Care 100g,Personal Care,Lux,139.89,Om Enterprises,2022-08-07,2022-09-25,2023-04-30
PB1093,McCain Frozen Food 100g,Frozen Foods,McCain,264.64,Om Enterprises,2025-02-15,2025-03-02,2025-05-03
PB1094,Nestle Chocolate 1kg,Chocolates,Nestle,259.1,Metro Supplies,2024-10-30,2024-11-26,2025-09-02
PB1095,Nestle Chocolate 500g,Chocolates,Nestle,170.59,Om Enterprises,2023-05-22,2023-07-14,2024-06-04
PB1096,McCain Frozen Food 200g,Frozen Foods,McCain,399.61,,2023-07-17,2023-08-14,2023-09-22
PB1097,Vim Home Care 500g,Home Care,Vim,104.19,Prime Wholesale,2025-01-11,2025-01-16,2025-03-27
PB1098,Haldiram Snack 200g,Snacks,Haldiram,198.71,Prime Wholesale,2022-05-12,2022-06-07,2023-01-01
PB1099,Parle Biscuit 200g,Biscuits,Parle,521.68,ABC Distributors,2024-05-10,2024-06-03,2025-03-29
PB1100,Britannia Biscuit 100g,Biscuits,Britannia,473.06,Om Enterprises,2023-12-22,2024-01-10,2024-07-27
PB1101,Parle Biscuit 1kg,Biscuits,Parle,279.96,Prime Wholesale,2023-03-26,2023-04-12,2023-11-21
PB1102,Fortune Staple 200g,Staples,Fortune,539.88,RK Agencies,2024-08-15,2024-10-12,2024-12-16
PB1103,Mother Dairy Dairy 250g,Dairy,Mother Dairy,69.07,Prime Wholesale,2025-03-01,2025-04-12,2025-04-25
PB1104,Bingo Snack 200g,Snacks,Bingo,196.86,Prime Wholesale,2022-04-13,2022-04-29,2022-11-09
PB1105,Fortune Staple 1kg,Staples,Fortune,157.44,ABC Distributors,2023-07-24,2023-09-10,2024-04-12
PB1106,Cadbury Chocolate 250g,Chocolates,Cadbury,142.72,ABC Distributors,2022-04-17,2022-06-16,2022-12-12
PB1107,Amul Dairy 200g,DAIRY,Amul,351.2,Metro Supplies,2023-02-13,2023-04-07,2023-04-17
PB1108,Bingo Snack 100g,Snacks,Bingo,269.14,Shree Traders,2025-03-01,2025-04-30,2025-08-19
PB1109,Aashirvaad Staple 250g,Staples,Aashirvaad,531.48,ABC Distributors,2022-08-23,2022-10-11,2023-01-02
PB1110,Mother Dairy Dairy 250g,Dairy,Mother Dairy,64.9,Global FMCG,2024-02-08,2024-03-04,2024-06-13
PB1111,Dove Personal Care 500g,Personal Care,Dove,435.88,Shree Traders,2022-09-05,2022-10-25,2023-08-10
PB1112,McCain Frozen Food 500g,Frozen Foods,McCain,204.15,Om Enterprises,2022-05-22,2022-06-23,2023-05-20
PB1113,Britannia Biscuit 100g,Biscuits,Britannia,493.08,Prime Wholesale,2024-06-06,2024-06-29,2025-05-20
PB1114,Bingo Snack 200g,Snacks,Bingo,348.35,RK Agencies,2024-12-04,2025-01-14,2025-06-01
PB1115,Nestle Chocolate 1kg,Chocolates,Nestle,461.13,ABC Distributors,2023-07-04,2023-07-24,2023-11-26
PB1116,Vim Home Care 200g,Home Care,Vim,375.8,Shree Traders,2024-08-09,2024-09-14,2025-07-23
PB1117,Mother Dairy Dairy 500g,Dairy,Mother Dairy,211.28,Shree Traders,2023-01-08,2023-02-08,2023-05-27
PB1118,Fortune Staple 250g,Staples,Fortune,296.23,,2023-07-20,2023-08-24,2023-08-29
PB1119,Tata Tea Beverage 1kg,Beverages,Tata Tea,387.57,Global FMCG,2024-09-27,2024-11-01,2025-03-04
PB1120,Nestle Chocolate 100g,Chocolates,Nestle,237.31,Metro Supplies,2022-07-10,2022-07-28,2022-11-18
PB1104,Bingo Snack 200g,Snacks,Bingo,196.86,Prime Wholesale,2022-04-13,2022-04-29,2022-11-09
PB1096,McCain Frozen Food 200g,Frozen Foods,McCain,399.61,,2023-07-17,2023-08-14,2023-09-22
PB1006,Britannia Cheese 400g,Dairy,Britannia,126.0,Prime FMCG Supply,2021-05-14,2023-09-28,2024-12-04
